id,label
0,12
1,21
2,3
3,4
4,6
5,9
6,2
7,8
8,7
9,22
10,16
11,25
12,2
13,16
14,15
15,7
16,17
17,11
18,5
19,12
20,1
21,12
22,14
23,9
24,3
25,16
26,24
27,20
28,13
29,16
30,22
31,10
32,2
33,17
34,4
35,13
36,16
37,7
38,26
39,7
40,6
41,5
42,13
43,6
44,11
45,14
46,24
47,8
48,8
49,7
50,4
51,18
52,20
53,21
54,10
55,11
56,7
57,20
58,22
59,2
60,10
61,20
62,11
63,6
64,25
65,24
66,22
67,6
68,7
69,17
70,16
71,13
72,5
73,22
74,4
75,4
76,12
77,3
78,3
79,7
80,26
81,3
82,25
83,24
84,3
85,20
86,12
87,13
88,9
89,5
90,16
91,11
92,9
93,26
94,19
95,6
96,12
97,4
98,19
99,2
100,16
101,22
102,16
103,26
104,16
105,26
106,10
107,8
108,1
109,24
110,1
111,21
112,2
113,11
114,17
115,4
116,4
117,1
118,9
119,20
120,22
121,18
122,13
123,13
124,13
125,8
126,21
127,15
128,10
129,7
130,22
131,15
132,21
133,10
134,21
135,15
136,7
137,2
138,16
139,8
140,10
141,9
142,14
143,10
144,26
145,17
146,7
147,22
148,1
149,24
150,26
151,3
152,24
153,6
154,25
155,12
156,12
157,18
158,21
159,6
160,22
161,10
162,11
163,20
164,24
165,26
166,3
167,15
168,1
169,20
170,1
171,12
172,1
173,3
174,10
175,23
176,1
177,6
178,18
179,19
180,14
181,22
182,18
183,13
184,17
185,21
186,26
187,25
188,16
189,10
190,22
191,9
192,14
193,9
194,10
195,2
196,17
197,6
198,24
199,18
200,23
201,16
202,5
203,3
204,24
205,9
206,22
207,26
208,16
209,9
210,18
211,17
212,26
213,16
214,7
215,12
216,9
217,26
218,23
219,22
220,23
221,4
222,3
223,3
224,26
225,21
226,13
227,13
228,7
229,9
230,4
231,13
232,8
233,16
234,23
235,7
236,10
237,4
238,8
239,7
240,1
241,20
242,1
243,21
244,19
245,12
246,22
247,8
248,5
249,3
250,10
251,2
252,11
253,12
254,15
255,8
256,9
257,19
258,3
259,24
260,11
261,5
262,8
263,11
264,1
265,26
266,14
267,6
268,20
269,14
270,20
271,22
272,9
273,9
274,22
275,3
276,7
277,18
278,4
279,20
280,11
281,20
282,19
283,19
284,21
285,6
286,2
287,23
288,25
289,1
290,21
291,10
292,26
293,12
294,17
295,13
296,5
297,18
298,10
299,3
300,14
301,18
302,22
303,12
304,17
305,11
306,21
307,21
308,21
309,10
310,11
311,5
312,21
313,3
314,26
315,7
316,15
317,6
318,24
319,25
320,22
321,15
322,17
323,20
324,24
325,18
326,24
327,14
328,25
329,12
330,13
331,12
332,1
333,17
334,17
335,1
336,8
337,12
338,9
339,8
340,21
341,14
342,5
343,25
344,25
345,20
346,7
347,14
348,11
349,9
350,3
351,16
352,1
353,16
354,6
355,15
356,19
357,26
358,20
359,13
360,19
361,22
362,24
363,6
364,4
365,18
366,25
367,14
368,6
369,5
370,4
371,3
372,26
373,1
374,5
375,24
376,12
377,19
378,19
379,13
380,12
381,2
382,14
383,16
384,20
385,19
386,7
387,15
388,7
389,7
390,3
391,5
392,7
393,10
394,4
395,13
396,11
397,2
398,21
399,14
400,19
401,3
402,21
403,14
404,17
405,8
406,1
407,2
408,22
409,13
410,5
411,19
412,15
413,9
414,4
415,8
416,25
417,14
418,9
419,12
420,18
421,8
422,7
423,18
424,17
425,24
426,21
427,4
428,16
429,19
430,11
431,14
432,7
433,15
434,17
435,9
436,14
437,22
438,12
439,12
440,24
441,18
442,2
443,9
444,21
445,26
446,19
447,10
448,13
449,1
450,22
451,26
452,5
453,4
454,2
455,22
456,16
457,5
458,11
459,19
460,19
461,24
462,1
463,26
464,22
465,5
466,4
467,16
468,13
469,12
470,21
471,19
472,21
473,18
474,13
475,10
476,13
477,2
478,2
479,7
480,25
481,18
482,21
483,13
484,14
485,6
486,9
487,12
